episode, reward, epsilon, hasWon
0, -30.60, 1.00, false
1, -21.70, 1.00, false
2, -21.00, 1.00, false
3, -24.20, 1.00, false
4, -20.40, 1.00, false
5, -27.20, 0.99, false
6, -22.90, 0.99, false
7, -24.10, 0.99, false
8, -18.10, 0.99, false
9, -27.90, 0.99, false
10, -18.90, 0.99, false
11, -7.80, 0.99, false
12, -30.10, 0.99, false
13, -25.30, 0.99, false
14, -21.70, 0.99, false
15, -19.50, 0.98, false
16, -21.30, 0.98, false
17, -27.30, 0.98, false
18, -26.50, 0.98, false
19, -27.90, 0.98, false
20, -27.10, 0.98, false
21, -22.30, 0.98, false
22, -28.20, 0.98, false
23, -17.10, 0.98, false
24, -29.40, 0.98, false
25, -21.40, 0.97, false
26, 46.90, 0.97, true
27, -20.30, 0.97, false
28, -28.90, 0.97, false
29, -8.60, 0.97, false
30, -19.10, 0.97, false
31, -22.60, 0.97, false
32, -29.70, 0.97, false
33, -21.50, 0.97, false
34, -26.40, 0.97, false
35, -17.50, 0.96, false
36, -22.30, 0.96, false
37, -22.20, 0.96, false
38, -23.10, 0.96, false
39, -19.80, 0.96, false
40, 55.40, 0.96, true
41, -27.30, 0.96, false
42, -14.30, 0.96, false
43, -11.80, 0.96, false
44, -30.10, 0.96, false
45, -23.60, 0.95, false
46, -26.00, 0.95, false
47, -5.00, 0.95, false
48, -31.50, 0.95, false
49, -9.60, 0.95, false
50, -20.10, 0.95, false
51, -27.00, 0.95, false
52, -15.90, 0.95, false
53, -16.90, 0.95, false
54, -14.60, 0.95, false
55, -10.10, 0.94, false
56, -30.10, 0.94, false
57, -31.60, 0.94, false
58, -13.90, 0.94, false
59, -25.60, 0.94, false
60, -23.10, 0.94, false
61, -18.40, 0.94, false
62, -29.60, 0.94, false
63, 50.00, 0.94, true
64, -15.80, 0.94, false
65, -10.40, 0.93, false
66, -29.20, 0.93, false
67, -4.30, 0.93, false
68, -30.10, 0.93, false
69, -9.60, 0.93, false
70, -18.30, 0.93, false
71, -21.00, 0.93, false
72, -22.50, 0.93, false
73, -21.80, 0.93, false
74, -27.20, 0.93, false
75, -21.10, 0.92, false
76, -24.30, 0.92, false
77, -11.30, 0.92, false
78, -23.80, 0.92, false
79, -27.30, 0.92, false
80, -15.00, 0.92, false
81, -27.30, 0.92, false
82, -11.30, 0.92, false
83, -24.60, 0.92, false
84, -25.30, 0.92, false
85, -37.20, 0.91, false
86, -30.10, 0.91, false
87, -27.10, 0.91, false
88, -19.20, 0.91, false
89, -17.10, 0.91, false
90, -21.60, 0.91, false
91, -22.30, 0.91, false
92, -27.50, 0.91, false
93, -15.30, 0.91, false
94, -27.70, 0.91, false
95, -31.00, 0.91, false
96, -24.60, 0.90, false
97, -25.30, 0.90, false
98, -21.80, 0.90, false
99, -33.50, 0.90, false
100, -30.10, 0.90, false
101, -27.60, 0.90, false
102, -26.40, 0.90, false
103, -27.40, 0.90, false
