episode, reward, epsilon, hasWon
0, -15.10, 0.99, false
1, -15.15, 0.99, false
2, -15.07, 0.99, false
3, -15.15, 0.99, false
4, 24.93, 0.99, true
5, -15.27, 0.99, false
6, -15.00, 0.98, false
7, -15.16, 0.98, false
8, -15.09, 0.98, false
9, -15.07, 0.98, false
10, -15.07, 0.98, false
11, -15.12, 0.98, false
12, -15.17, 0.98, false
13, -15.06, 0.98, false
14, -15.28, 0.98, false
15, -15.04, 0.98, false
16, -15.16, 0.97, false
17, -15.12, 0.97, false
18, -15.13, 0.97, false
19, -15.09, 0.97, false
20, -15.21, 0.97, false
21, -15.37, 0.97, false
22, -15.04, 0.97, false
23, -15.33, 0.97, false
24, -15.45, 0.97, false
25, -15.01, 0.97, false
26, -15.03, 0.96, false
27, -15.20, 0.96, false
28, -15.15, 0.96, false
29, -15.38, 0.96, false
30, -15.05, 0.96, false
31, -15.31, 0.96, false
32, -15.13, 0.96, false
33, -15.11, 0.96, false
34, -15.06, 0.96, false
35, -15.27, 0.96, false
36, -15.04, 0.95, false
37, -15.23, 0.95, false
38, -15.05, 0.95, false
39, -15.46, 0.95, false
40, -15.01, 0.95, false
41, -15.45, 0.95, false
42, -15.15, 0.95, false
43, -15.24, 0.95, false
44, -15.08, 0.95, false
45, -15.07, 0.95, false
46, -15.44, 0.94, false
47, -15.01, 0.94, false
48, -15.13, 0.94, false
49, -15.06, 0.94, false
50, -15.12, 0.94, false
51, -15.23, 0.94, false
52, -15.15, 0.94, false
53, -15.33, 0.94, false
54, -15.22, 0.94, false
55, -15.29, 0.94, false
56, -15.34, 0.94, false
57, -15.10, 0.93, false
58, -15.09, 0.93, false
59, -15.45, 0.93, false
60, -15.01, 0.93, false
61, -15.13, 0.93, false
62, -15.08, 0.93, false
63, -15.37, 0.93, false
64, -15.37, 0.93, false
65, -15.00, 0.93, false
66, -15.03, 0.93, false
67, -15.03, 0.92, false
68, -15.03, 0.92, false
69, -15.19, 0.92, false
70, -15.16, 0.92, false
71, -15.28, 0.92, false
72, -15.03, 0.92, false
73, -15.16, 0.92, false
74, -15.41, 0.92, false
75, -15.01, 0.92, false
76, -15.16, 0.92, false
77, -15.02, 0.91, false
78, -15.05, 0.91, false
79, -15.09, 0.91, false
80, -15.16, 0.91, false
81, -15.05, 0.91, false
82, -15.13, 0.91, false
83, -15.05, 0.91, false
84, -15.16, 0.91, false
85, -15.20, 0.91, false
86, -15.26, 0.91, false
87, -15.23, 0.90, false
88, -15.12, 0.90, false
89, -15.03, 0.90, false
90, -15.11, 0.90, false
91, -15.06, 0.90, false
92, -15.19, 0.90, false
93, -15.12, 0.90, false
94, -15.11, 0.90, false
95, -15.26, 0.90, false
96, -15.03, 0.90, false
97, -15.09, 0.89, false
98, -15.04, 0.89, false
99, -15.37, 0.89, false
100, -15.17, 0.89, false
101, -15.07, 0.89, false
102, -15.19, 0.89, false
103, -15.18, 0.89, false
104, -15.06, 0.89, false
105, -15.06, 0.89, false
106, -15.33, 0.89, false
107, -15.05, 0.89, false
108, -15.02, 0.88, false
109, -15.16, 0.88, false
110, -15.06, 0.88, false
111, -15.15, 0.88, false
112, -15.17, 0.88, false
113, -15.03, 0.88, false
114, -15.08, 0.88, false
115, -15.11, 0.88, false
116, -15.18, 0.88, false
117, -15.06, 0.88, false
118, -15.38, 0.87, false
119, -15.00, 0.87, false
120, -15.07, 0.87, false
121, -15.20, 0.87, false
122, 24.93, 0.87, true
123, -15.17, 0.87, false
124, -15.22, 0.87, false
125, -15.10, 0.87, false
126, -15.18, 0.87, false
127, -15.23, 0.87, false
128, -15.20, 0.86, false
129, -15.36, 0.86, false
130, -15.24, 0.86, false
131, -15.11, 0.86, false
132, -15.02, 0.86, false
133, -15.23, 0.86, false
134, -15.23, 0.86, false
135, -15.30, 0.86, false
136, -15.00, 0.86, false
137, -15.06, 0.86, false
138, -15.20, 0.85, false
139, -15.04, 0.85, false
140, -15.11, 0.85, false
141, -15.04, 0.85, false
142, -15.11, 0.85, false
143, -15.21, 0.85, false
144, -15.18, 0.85, false
145, -15.05, 0.85, false
146, -15.09, 0.85, false
147, -15.32, 0.85, false
148, -15.14, 0.84, false
149, -15.15, 0.84, false
150, -15.14, 0.84, false
151, -15.24, 0.84, false
152, -15.09, 0.84, false
153, -15.10, 0.84, false
154, -15.20, 0.84, false
155, -15.18, 0.84, false
156, -15.05, 0.84, false
157, -15.13, 0.84, false
158, 24.93, 0.84, true
159, -15.07, 0.83, false
160, -15.05, 0.83, false
161, -15.28, 0.83, false
162, -15.32, 0.83, false
163, -15.05, 0.83, false
164, -15.08, 0.83, false
165, -15.14, 0.83, false
166, -15.09, 0.83, false
167, 24.80, 0.83, true
168, -15.15, 0.83, false
169, -15.04, 0.82, false
170, -15.21, 0.82, false
171, -15.20, 0.82, false
172, -15.13, 0.82, false
173, -15.15, 0.82, false
174, -15.23, 0.82, false
175, -15.20, 0.82, false
176, -15.05, 0.82, false
177, -15.14, 0.82, false
178, -15.16, 0.82, false
179, -15.10, 0.81, false
180, -15.10, 0.81, false
181, -15.07, 0.81, false
182, -15.10, 0.81, false
183, -15.02, 0.81, false
184, -15.12, 0.81, false
185, -15.44, 0.81, false
186, -15.00, 0.81, false
187, -15.04, 0.81, false
188, -15.12, 0.81, false
189, -15.23, 0.80, false
190, -15.02, 0.80, false
191, 24.82, 0.80, true
192, -15.15, 0.80, false
193, -15.09, 0.80, false
194, -15.03, 0.80, false
195, -15.08, 0.80, false
196, -15.05, 0.80, false
197, -15.14, 0.80, false
198, -15.17, 0.80, false
199, -15.07, 0.79, false
200, -15.17, 0.79, false
201, -15.00, 0.79, false
202, -15.06, 0.79, false
203, -15.03, 0.79, false
204, -15.26, 0.79, false
205, -15.03, 0.79, false
206, -15.00, 0.79, false
207, -15.31, 0.79, false
208, -15.15, 0.79, false
209, -15.03, 0.79, false
210, -15.03, 0.78, false
211, -15.08, 0.78, false
212, -15.08, 0.78, false
213, -15.10, 0.78, false
