episode, reward, epsilon, hasWon
0, -26.00, 1.00, false
1, -31.00, 1.00, false
2, -36.00, 1.00, false
3, -43.00, 1.00, false
4, -30.00, 1.00, false
5, -29.00, 0.99, false
6, -28.00, 0.99, false
7, -31.00, 0.99, false
8, -34.00, 0.99, false
9, -35.00, 0.99, false
10, -27.00, 0.99, false
11, -28.00, 0.99, false
12, -37.00, 0.99, false
13, -31.00, 0.99, false
14, -28.00, 0.99, false
15, -28.00, 0.98, false
16, -26.00, 0.98, false
17, -37.00, 0.98, false
18, -35.00, 0.98, false
19, -29.00, 0.98, false
20, -29.00, 0.98, false
21, -34.00, 0.98, false
22, -26.00, 0.98, false
23, -33.00, 0.98, false
24, -31.00, 0.98, false
25, -31.00, 0.97, false
26, -29.00, 0.97, false
27, -27.00, 0.97, false
28, -31.00, 0.97, false
29, -36.00, 0.97, false
30, -29.00, 0.97, false
31, -32.00, 0.97, false
32, -32.00, 0.97, false
33, -29.00, 0.97, false
34, -27.00, 0.97, false
35, -30.00, 0.96, false
36, -26.00, 0.96, false
37, -29.00, 0.96, false
38, -28.00, 0.96, false
39, -33.00, 0.96, false
40, -27.00, 0.96, false
41, -31.00, 0.96, false
42, -31.00, 0.96, false
43, -26.00, 0.96, false
44, -27.00, 0.96, false
45, -31.00, 0.95, false
46, -32.00, 0.95, false
47, -36.00, 0.95, false
48, -28.00, 0.95, false
49, -27.00, 0.95, false
50, -29.00, 0.95, false
51, -28.00, 0.95, false
52, -31.00, 0.95, false
53, -36.00, 0.95, false
54, -28.00, 0.95, false
55, -28.00, 0.94, false
56, -29.00, 0.94, false
57, -31.00, 0.94, false
58, -30.00, 0.94, false
59, -38.00, 0.94, false
60, -30.00, 0.94, false
61, -29.00, 0.94, false
62, -29.00, 0.94, false
63, -36.00, 0.94, false
64, -30.00, 0.94, false
65, -33.00, 0.93, false
66, -33.00, 0.93, false
67, -32.00, 0.93, false
68, -41.00, 0.93, false
69, -30.00, 0.93, false
70, -27.00, 0.93, false
71, -29.00, 0.93, false
72, -31.00, 0.93, false
73, -30.00, 0.93, false
74, -27.00, 0.93, false
75, -28.00, 0.92, false
76, -30.00, 0.92, false
77, -34.00, 0.92, false
78, -29.00, 0.92, false
79, -29.00, 0.92, false
80, -29.00, 0.92, false
81, -29.00, 0.92, false
82, -29.00, 0.92, false
83, -31.00, 0.92, false
84, -30.00, 0.92, false
85, -26.00, 0.91, false
86, -29.00, 0.91, false
87, -35.00, 0.91, false
88, -31.00, 0.91, false
89, -33.00, 0.91, false
90, -29.00, 0.91, false
91, -36.00, 0.91, false
92, -29.00, 0.91, false
93, -31.00, 0.91, false
94, -27.00, 0.91, false
95, -27.00, 0.91, false
96, -31.00, 0.90, false
97, -31.00, 0.90, false
98, -31.00, 0.90, false
99, -33.00, 0.90, false
100, -32.00, 0.90, false
101, -49.00, 0.90, false
102, -30.00, 0.90, false
103, -29.00, 0.90, false
104, -27.00, 0.90, false
105, -30.00, 0.90, false
106, -39.00, 0.89, false
107, -30.00, 0.89, false
108, -36.00, 0.89, false
109, -30.00, 0.89, false
110, -28.00, 0.89, false
111, -26.00, 0.89, false
112, -30.00, 0.89, false
113, -30.00, 0.89, false
114, -28.00, 0.89, false
115, -31.00, 0.89, false
116, -36.00, 0.88, false
117, -30.00, 0.88, false
118, -38.00, 0.88, false
119, -29.00, 0.88, false
120, -27.00, 0.88, false
121, -29.00, 0.88, false
122, -30.00, 0.88, false
123, -30.00, 0.88, false
124, -29.00, 0.88, false
125, -28.00, 0.88, false
126, -26.00, 0.87, false
127, -32.00, 0.87, false
128, -29.00, 0.87, false
129, -40.00, 0.87, false
130, -30.00, 0.87, false
131, -30.00, 0.87, false
132, -36.00, 0.87, false
133, -30.00, 0.87, false
134, -31.00, 0.87, false
135, -31.00, 0.87, false
136, -33.00, 0.86, false
137, -35.00, 0.86, false
138, -34.00, 0.86, false
139, -36.00, 0.86, false
140, -36.00, 0.86, false
141, -34.00, 0.86, false
142, -38.00, 0.86, false
143, -44.00, 0.86, false
144, -30.00, 0.86, false
145, -31.00, 0.86, false
146, -35.00, 0.85, false
147, -30.00, 0.85, false
