episode, reward, epsilon, hasWon
0, -14.20, 0.99, false
1, -12.20, 0.98, false
2, -14.80, 0.97, false
3, -10.80, 0.96, false
4, -15.00, 0.95, false
5, -14.20, 0.94, false
6, -14.40, 0.93, false
7, -14.40, 0.92, false
8, -14.20, 0.91, false
9, -12.20, 0.90, false
10, -14.40, 0.89, false
11, -13.60, 0.88, false
12, 28.00, 0.87, true
13, -12.40, 0.86, false
14, -13.20, 0.85, false
15, -14.80, 0.84, false
16, -13.20, 0.83, false
17, -14.40, 0.82, false
18, -13.80, 0.81, false
19, -11.40, 0.80, false
20, -14.20, 0.79, false
21, -14.80, 0.78, false
22, -13.40, 0.77, false
23, -13.20, 0.76, false
24, -14.40, 0.75, false
25, -14.20, 0.74, false
26, -14.20, 0.74, false
27, -14.80, 0.73, false
28, -14.20, 0.72, false
29, -14.20, 0.71, false
30, -14.00, 0.70, false
31, -13.60, 0.69, false
32, -15.00, 0.68, false
33, -14.80, 0.67, false
34, -13.40, 0.66, false
35, -14.00, 0.65, false
36, 28.20, 0.64, true
37, -14.40, 0.63, false
38, -14.00, 0.62, false
39, 27.00, 0.61, true
40, -12.40, 0.60, false
41, -14.80, 0.59, false
42, -14.40, 0.58, false
43, -12.60, 0.57, false
44, -14.60, 0.56, false
45, -13.00, 0.55, false
46, -14.20, 0.54, false
47, -14.80, 0.53, false
48, -12.20, 0.52, false
49, -14.80, 0.51, false
50, -14.20, 0.50, false
51, -13.40, 0.49, false
52, -13.80, 0.48, false
53, -12.60, 0.47, false
54, -14.80, 0.46, false
55, -13.40, 0.45, false
56, -14.80, 0.44, false
57, -14.80, 0.43, false
58, -14.00, 0.42, false
59, -14.40, 0.41, false
60, -13.40, 0.40, false
61, -14.80, 0.39, false
62, -11.80, 0.38, false
63, -13.40, 0.37, false
64, -14.80, 0.36, false
65, 27.40, 0.35, true
66, -14.60, 0.34, false
67, -13.00, 0.33, false
68, -14.80, 0.32, false
69, -14.00, 0.31, false
70, -13.40, 0.30, false
71, -14.00, 0.29, false
72, -14.00, 0.28, false
73, -15.00, 0.27, false
74, -9.80, 0.26, false
75, -14.20, 0.25, false
76, -12.80, 0.25, false
77, -13.20, 0.24, false
78, -10.60, 0.23, false
79, -11.40, 0.22, false
80, -14.80, 0.21, false
81, -14.20, 0.20, false
82, -8.60, 0.19, false
83, -15.00, 0.18, false
84, -12.80, 0.17, false
85, -14.20, 0.16, false
86, -15.00, 0.15, false
87, -10.60, 0.14, false
88, -14.80, 0.13, false
89, -14.20, 0.12, false
90, -15.00, 0.11, false
91, -12.20, 0.10, false
92, -15.00, 0.09, false
93, -15.00, 0.08, false
94, -15.00, 0.07, false
95, -12.80, 0.06, false
96, -15.00, 0.05, false
97, -13.20, 0.04, false
98, -14.80, 0.03, false
99, -13.60, 0.02, false
100, -15.00, 0.01, false
101, -11.80, 0.01, false
102, -15.00, 0.01, false
103, 28.60, 0.01, true
104, 29.80, 0.01, true
105, -14.20, 0.01, false
106, -6.40, 0.01, false
107, 33.80, 0.01, true
108, 27.00, 0.01, true
109, 29.20, 0.01, true
110, 29.00, 0.01, true
111, -10.00, 0.01, false
112, 33.00, 0.01, true
113, -10.00, 0.01, false
114, 2.00, 0.01, false
115, -14.60, 0.01, false
116, 28.40, 0.01, true
117, 31.60, 0.01, true
118, 1.80, 0.01, false
119, -14.60, 0.01, false
120, 38.00, 0.01, true
121, 33.40, 0.01, true
122, -4.60, 0.01, false
123, -14.60, 0.01, false
124, -11.20, 0.01, false
125, 31.40, 0.01, true
126, -8.40, 0.01, false
127, -15.00, 0.01, false
128, 33.60, 0.01, true
129, 34.60, 0.01, true
130, -6.40, 0.01, false
131, -14.80, 0.01, false
132, -13.20, 0.01, false
133, -15.00, 0.01, false
134, -9.80, 0.01, false
135, -14.80, 0.01, false
136, -12.00, 0.01, false
137, -15.00, 0.01, false
138, -9.20, 0.01, false
139, -15.00, 0.01, false
140, -11.40, 0.01, false
141, -15.00, 0.01, false
142, -10.60, 0.01, false
143, -15.00, 0.01, false
144, -13.20, 0.01, false
145, -15.00, 0.01, false
146, -14.00, 0.01, false
147, -15.00, 0.01, false
148, -12.80, 0.01, false
149, -15.00, 0.01, false
150, -13.60, 0.01, false
151, -15.00, 0.01, false
152, -13.80, 0.01, false
153, -15.00, 0.01, false
154, -15.00, 0.01, false
155, -15.00, 0.01, false
156, -14.60, 0.01, false
157, -15.00, 0.01, false
158, -14.80, 0.01, false
159, -14.00, 0.01, false
160, -14.80, 0.01, false
161, -14.00, 0.01, false
162, -15.00, 0.01, false
163, -13.40, 0.01, false
164, -14.80, 0.01, false
165, -11.80, 0.01, false
166, -14.80, 0.01, false
167, -11.80, 0.01, false
168, -15.00, 0.01, false
169, -13.20, 0.01, false
170, -15.00, 0.01, false
171, -12.00, 0.01, false
172, -15.00, 0.01, false
173, -10.80, 0.01, false
174, -14.80, 0.01, false
175, -13.00, 0.01, false
176, -14.80, 0.01, false
177, -12.20, 0.01, false
178, -15.00, 0.01, false
179, -12.00, 0.01, false
180, -15.00, 0.01, false
181, -15.00, 0.01, false
182, -15.00, 0.01, false
183, -6.60, 0.01, false
184, -15.00, 0.01, false
185, -13.60, 0.01, false
186, -15.00, 0.01, false
187, -13.20, 0.01, false
188, -15.00, 0.01, false
189, -11.80, 0.01, false
190, -15.00, 0.01, false
191, -13.20, 0.01, false
192, -15.00, 0.01, false
193, -12.40, 0.01, false
194, -15.00, 0.01, false
195, -10.40, 0.01, false
196, -15.00, 0.01, false
197, -7.40, 0.01, false
198, -10.20, 0.01, false
199, -15.00, 0.01, false
