episode, reward, epsilon, hasWon
0, -30.00, 1.00, false
1, -30.00, 1.00, false
2, -29.00, 1.00, false
3, -29.00, 1.00, false
4, -29.00, 1.00, false
5, -30.00, 1.00, false
6, -33.00, 1.00, false
7, -31.00, 1.00, false
8, -31.00, 1.00, false
9, -30.00, 1.00, false
10, -28.00, 1.00, false
11, -30.00, 1.00, false
12, -29.00, 1.00, false
13, -28.00, 1.00, false
14, -31.00, 1.00, false
15, -27.00, 1.00, false
16, -29.00, 1.00, false
17, -29.00, 1.00, false
18, -30.00, 1.00, false
19, -28.00, 1.00, false
20, -36.00, 1.00, false
21, -33.00, 1.00, false
22, -29.00, 1.00, false
23, -29.00, 1.00, false
24, -29.00, 1.00, false
25, -28.00, 1.00, false
26, -29.00, 1.00, false
27, -29.00, 1.00, false
28, -27.00, 1.00, false
29, -28.00, 1.00, false
30, -30.00, 1.00, false
31, -32.00, 1.00, false
32, -29.00, 1.00, false
33, -31.00, 1.00, false
34, -29.00, 1.00, false
35, -29.00, 1.00, false
36, -34.00, 1.00, false
37, 34.00, 1.00, true
38, -29.00, 1.00, false
39, -31.00, 1.00, false
40, -28.00, 1.00, false
41, -29.00, 1.00, false
42, -30.00, 1.00, false
43, -33.00, 1.00, false
44, -31.00, 1.00, false
45, -31.00, 1.00, false
46, -33.00, 1.00, false
47, -30.00, 1.00, false
48, -33.00, 1.00, false
49, -31.00, 0.99, false
50, -27.00, 0.99, false
51, -29.00, 0.99, false
52, -33.00, 0.99, false
53, -31.00, 0.99, false
54, -29.00, 0.99, false
55, -28.00, 0.99, false
56, -30.00, 0.99, false
57, -34.00, 0.99, false
58, -29.00, 0.99, false
59, 34.00, 0.99, true
60, -28.00, 0.99, false
61, -30.00, 0.99, false
62, -31.00, 0.99, false
63, -32.00, 0.99, false
64, -30.00, 0.99, false
65, -29.00, 0.99, false
66, -32.00, 0.99, false
67, -29.00, 0.99, false
68, -30.00, 0.99, false
69, -30.00, 0.99, false
70, -32.00, 0.99, false
71, -27.00, 0.99, false
72, -30.00, 0.99, false
73, -31.00, 0.99, false
74, -30.00, 0.99, false
75, -29.00, 0.99, false
76, -29.00, 0.99, false
77, -30.00, 0.99, false
78, -28.00, 0.99, false
79, -29.00, 0.99, false
80, -31.00, 0.99, false
81, -32.00, 0.99, false
82, -31.00, 0.99, false
83, -32.00, 0.99, false
84, -31.00, 0.99, false
85, -29.00, 0.99, false
86, -29.00, 0.99, false
87, 30.00, 0.99, true
