episode, reward, epsilon, hasWon
0, -49.80, 0.99, false
1, -47.80, 0.98, false
2, -48.60, 0.97, false
3, -49.60, 0.95, false
4, -46.80, 0.94, false
5, -49.60, 0.93, false
6, -49.80, 0.92, false
7, -46.00, 0.90, false
8, -49.20, 0.89, false
9, -48.80, 0.88, false
10, -49.80, 0.87, false
11, -49.80, 0.86, false
12, -48.40, 0.84, false
13, -49.80, 0.83, false
14, -49.20, 0.82, false
15, -49.60, 0.81, false
16, -49.00, 0.79, false
17, -49.80, 0.78, false
18, -49.00, 0.77, false
19, -48.60, 0.76, false
20, -49.60, 0.75, false
21, -48.00, 0.73, false
22, -49.80, 0.72, false
23, -43.00, 0.71, false
24, -48.40, 0.70, false
25, -49.80, 0.68, false
26, -48.60, 0.67, false
27, -44.40, 0.66, false
28, -45.80, 0.65, false
29, -49.80, 0.63, false
30, -49.60, 0.62, false
31, -49.80, 0.61, false
32, -48.20, 0.60, false
33, -49.80, 0.59, false
34, -48.80, 0.57, false
35, -49.80, 0.56, false
36, -49.80, 0.55, false
37, -49.80, 0.54, false
38, -49.40, 0.52, false
39, -38.20, 0.51, false
40, -49.40, 0.50, false
41, -48.00, 0.49, false
42, -48.40, 0.48, false
43, -49.40, 0.46, false
44, -49.80, 0.45, false
45, -49.20, 0.44, false
46, -49.60, 0.43, false
47, -49.00, 0.41, false
48, -49.60, 0.40, false
49, -49.80, 0.39, false
50, -49.80, 0.38, false
51, -49.60, 0.37, false
52, 13.20, 0.35, true
53, -49.60, 0.34, false
54, -49.40, 0.33, false
55, -48.80, 0.32, false
56, -49.00, 0.30, false
57, -50.00, 0.29, false
58, -49.00, 0.28, false
59, -44.60, 0.27, false
60, -50.00, 0.26, false
61, -48.80, 0.24, false
62, 15.40, 0.23, true
63, 9.40, 0.22, true
64, 10.40, 0.21, true
65, 9.20, 0.19, true
66, 9.20, 0.18, true
67, 9.20, 0.17, true
68, -48.80, 0.16, false
69, 9.60, 0.14, true
70, -49.40, 0.13, false
71, 9.80, 0.12, true
72, 9.20, 0.11, true
73, -49.80, 0.10, false
74, 9.20, 0.08, true
75, 9.80, 0.07, true
76, -49.80, 0.06, false
77, 9.20, 0.05, true
78, -49.80, 0.03, false
79, 9.20, 0.02, true
